target,source,weight
小出惠介,桐谷健太,3
羽多野涉,朴璐美,3
野田顺子,咲野俊介,3
咲野俊介,落合弘治,3
羽多野涉,咲野俊介,3
常盘贵子,野际阳子,3
野田顺子,宫田幸季,3
佐藤二朗,宅麻伸,3
咲野俊介,羽多野涉,3
野田顺子,朴璐美,3
野田顺子,桐井大介,3
石田壹成,酒井法子,3
胜村政信,儿玉清,3
田畑智子,须藤理彩,3
美村里江,片桐入,3
咲野俊介,森田成一,3
咲野俊介,朴璐美,3
野田顺子,笹本优子,3
阿部宽,大岛蓉子,3
羽田美智子,原沙知绘,3
宝生舞,京野琴美,3
羽田美智子,吹越満,3
新垣结衣,户田惠梨香,3
山下智久,比嘉爱未,3
山下智久,寺岛进,3
阿部宽,香川照之,3
山下智久,浅利阳介,3
阿部宽,菅野美穗,3
山下智久,凉,3
新垣结衣,杉本哲太,3
新垣结衣,比嘉爱未,3
新垣结衣,寺岛进,3
新垣结衣,浅利阳介,3
夏木真理,稻森泉,3
唐泽寿明,江口洋介,3
阿部宽,松隆子,3
山中崇史,山西惇,3
山中崇史,川原和久,3
宝生舞,户田惠子,3
柳乐优弥,松坂桃李,3
山中崇史,石坂浩二,3
山中崇史,神保悟志 ,3
阿部隆史,稻森泉,3
新垣结衣,凉,3
尾野真千子,绫野刚,3
竹野内丰,天海祐希,3
麻生祐未,武田铁矢,3
野田顺子,羽多野涉,3
野田顺子,茅原实里,3
瑛太,水川麻美,3
川原和久,石坂浩二,3
浅利阳介,凉,3
落合弘治,野田顺子,3
光石研,三浦友和,3
坂口宪二,稻森泉,3
小日向文世,松重丰,3
落合弘治,羽多野涉,3
福山雅治,大路惠美,3
落合弘治,森田成一,3
落合弘治,朴璐美,3
桐谷健太,绫濑遥,3
落合弘治,咲野俊介,3
川原和久,神保悟志 ,3
室毅,木南晴夏,3
野田顺子,荻原秀树,3
光石研,泷藤贤一,3
川原和久,山中崇史,3
绫野刚,吉田羊,3
绫田俊树,松重丰,3
绫田俊树,小田切让,3
桐谷健太,小出惠介,3
田口浩正,吹越満,3
武田铁矢,麻生祐未,3
田口智朗,松重丰,3
崎本大海,矢部享佑,3
远藤宪一,野间口彻,3
远藤宪一,草刈正雄,3
儿玉清,杉本哲太,3
野际阳子,阿部宽,3
坂口宪二,内田有纪,3
吹越満,井ノ原快彦,3
野田顺子,落合弘治,3
宅麻伸,佐藤二朗,3
胜村政信,西田敏行,3
宅麻伸,木南晴夏,3
置鲇龙太郎,三石琴乃,3
寺岛进,浅利阳介,3
寺岛进,比嘉爱未,3
原沙知绘,羽田美智子,3
寺岛进,杉本哲太,3
寺岛进,新垣结衣,3
田村正和,松隆子,3
大岛蓉子,阿部宽,3
须藤理彩,田畑智子,3
大岛蓉子,野际阳子,3
池田铁洋,稻森泉,3
大岛蓉子,生濑胜久,3
小日向文世,内野圣阳,3
佐佐木藏之介,稻森泉,3
泷藤贤一,光石研,3
野际阳子,大岛蓉子,3
泷藤贤一,永山绚斗,3
吹越満,羽田美智子,3
吹越満,田口浩正,3
野际阳子,生濑胜久,3
吹越満,津田寛治,3
儿玉清,胜村政信,3
比嘉爱未,凉,3
宫田幸季,茅原实里,3
森川智之,浪川大辅,3
内田有纪,铃木浩介,3
宫田幸季,荻原秀树,3
山田孝之,田中幸太朗,3
仲间由纪惠,野际阳子,3
宫田幸季,笹本优子,3
山田孝之,矢部享佑,3
森久保祥太郎,咲野俊介,3
宫田幸季,森田成一,3
宫田幸季,桐井大介,3
茅原实里,桐井大介,3
山田孝之,绫野刚,3
凉,浅利阳介,3
凉,比嘉爱未,3
神保悟志 ,石坂浩二,3
茅原实里,森田成一,3
仲间由纪惠,大岛蓉子,3
稻森泉,夏木真理,3
凉,杉本哲太,3
茅原实里,笹本优子,3
铃木浩介,内田有纪,3
山田孝之,木南晴夏,3
茅原实里,宫田幸季,3
山田孝之,佐藤二朗,3
京野琴美,宝生舞,3
渡瀬恒彦,吹越満,3
松冈茉优,吉田羊,3
松隆子,阿部宽,3
京野琴美,户田惠子,3
吉田羊,泷藤贤一,3
堺雅人,铃木京香,3
吉田羊,松冈茉优,3
宫田幸季,野田顺子,3
